Book Id,Title,Author,Author l-f,Additional Authors,Genre,Ratings Count,Reviews Count,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
52128695,"Ace: What Asexuality Reveals About Desire, Society, and the Meaning of Sex",Angela  Chen,"Chen, Angela",,Non-Fiction,3982,889,080701379X,9780807013793,5,4.4,Beacon Press,Hardcover,224,2020,2020,10/5/21,7/13/21,,,read,,,,1,,,0,,,,,
55789067,The Authenticity Project,Clare Pooley,"Pooley, Clare",,Contemporary,38674,5445,1984878638,9781984878632,0,3.96,Penguin Books,Paperback,384,2020,2020,,10/2/21,to-read,to-read (#480),to-read,,,,0,,,0,,,,,
43582376,The Body: A Guide for Occupants,Bill Bryson,"Bryson, Bill",,Non-Fiction,54782,6420,0385539304,9780385539302,0,4.3,Doubleday Books,Hardcover,450,2019,2019,,10/2/21,to-read,to-read (#479),to-read,,,,0,,,0,,,,,
55600878,Instructions for Dancing,Nicola Yoon,"Yoon, Nicola",,Romance,16152,3717,,,0,4.1,Penguin,Kindle Edition,304,2021,2021,,10/2/21,to-read,to-read (#478),to-read,,,,0,,,0,,,,,
55643287,How the Word Is Passed: A Reckoning with the History of Slavery Across America,Clint   Smith,"Smith, Clint",,Non-Fiction,6233,1169,0316492930,9780316492935,0,4.8,"Little, Brown and Company",Hardcover,336,2021,2021,,10/2/21,to-read,to-read (#477),to-read,,,,0,,,0,,,,,
54985743,People We Meet on Vacation,Emily Henry,"Henry, Emily",,Romance,198418,25801,1984806750,9781984806758,5,4.13,Berkley Books,Paperback,364,2021,2021,9/28/21,5/25/21,,,read,,,,1,,,0,,,,,
43575115,The Starless Sea,Erin Morgenstern,"Morgenstern, Erin",,Fantasy,133333,26271,038554121X,9780385541213,4,3.84,Doubleday Books,Hardcover,498,2019,2019,8/29/21,1/18/20,,,read,,,,1,,,0,,,,,
26535513,Storytelling with Data: A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,"Knaflic, Cole Nussbaumer",,Non-Fiction,4037,465,1119002257,9781119002253,0,4.4,Wiley,Paperback,288,2015,2015,,8/31/21,to-read,to-read (#475),to-read,,,,0,,,0,,,,,
58104944,The Maidens,Alex Michaelides,"Michaelides, Alex",,Mystery,83316,13597,1250792967,9781250792969,0,3.66,Celadon Books,Paperback,333,2021,2021,,8/20/21,to-read,to-read (#474),to-read,,,,0,,,0,,,,,
56366617,Not a Happy Family,Shari Lapena,"Lapena, Shari",,Mystery,34675,3709,1984880551,9781984880550,0,3.89,Pamela Dorman Books,Hardcover,349,2021,2021,,8/10/21,to-read,to-read (#473),to-read,,,,0,,,0,,,,,
55404546,Malibu Rising,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,Historical,199061,24297,,,5,4.13,Ballantine Books,Hardcover,369,2021,2021,8/5/21,1/31/21,,,read,,,,1,,,0,,,,,
42201995,The Stationery Shop,Marjan Kamali,"Kamali, Marjan",,Historical,35923,5107,1982107480,9781982107482,4,4.21,Gallery Books,Hardcover,322,2019,2019,7/29/21,5/5/21,,,read,,,,1,,,0,,,,,
56955790,What a Happy Family,Saumya Dave,"Dave, Saumya",,Contemporary,414,72,1984806173,9781984806178,0,3.94,Berkley,Paperback,400,2021,2021,,7/24/21,to-read,to-read (#471),to-read,,,,0,,,0,,,,,
55711675,The Startup Wife,Tahmima Anam,"Anam, Tahmima",,Contemporary,2323,462,198215618X,9781982156183,0,3.66,Scribner,Hardcover,304,2021,2021,,7/20/21,to-read,to-read (#470),to-read,,,,0,,,0,,,,,
52973514,Days of Distraction,Alexandra Chang,"Chang, Alexandra",,Contemporary,4012,622,0062951807,9780062951809,3,3.61,HarperCollins,Hardcover,312,2020,2020,7/18/21,4/21/21,,,read,,,,1,,,0,,,,,
32827398,Spoonbenders,Daryl Gregory,"Gregory, Daryl",,Science Fiction,13261,1880,1524734829,9781524734824,0,3.91,Books on Tape,Audio CD,,2017,2017,,7/18/21,to-read,to-read (#469),to-read,,,,0,,,0,,,,,
13589182,Mastery,Robert Greene,"Greene, Robert",,Non-Fiction,32348,2052,0670024961,9780670024964,0,4.23,Viking,Hardcover,318,2012,2012,,7/13/21,to-read,to-read (#468),to-read,,,,0,,,0,,,,,
54659771,"Neon Gods (Dark Olympus, #1)",Katee Robert,"Robert, Katee",,Fantasy,25709,4100,1728231736,9781728231730,0,3.82,Sourcebooks Casablanca,Paperback,380,2021,2021,,7/13/21,to-read,to-read (#467),to-read,,,,0,,,0,,,,,
40908064,The Unlikely Adventures of the Shergill Sisters,Balli Kaur Jaswal,"Jaswal, Balli Kaur",,Contemporary,11016,1453,0062645145,9780062645142,0,3.8,William Morrow,Hardcover,312,2019,2019,,7/13/21,to-read,to-read (#466),to-read,,,,0,,,0,,,,,
34374628,Next Year in Havana,Chanel Cleeton,"Cleeton, Chanel",,Historical,96933,9517,0399586687,9780399586682,0,3.93,Berkley,Paperback,361,2018,2018,,7/12/21,to-read,to-read (#465),to-read,,,,0,,,0,,,,,
45047384,The House in the Cerulean Sea,T.J. Klune,"Klune, T.J.",,Fantasy,171189,35189,,,4,4.48,Tor Books,Kindle Edition,394,2020,2020,7/8/21,1/31/21,,,read,,,,1,,,0,,,,,
101384,The Mango Season,Amulya Malladi,"Malladi, Amulya",,Contemporary,4058,427,0345450310,9780345450319,0,3.59,Ballantine Books,Paperback,229,2004,2003,,7/8/21,to-read,to-read (#464),to-read,,,,0,,,0,,,,,
43532531,Take It Back,Kia Abdullah,"Abdullah, Kia",,Mystery,4917,1415,0008314675,9780008314675,0,4,HarperCollins Publishers ,Hardcover,384,2019,2019,,7/7/21,to-read,to-read (#463),to-read,,,,0,,,0,,,,,
55169019,The Chosen and the Beautiful,Nghi Vo,"Vo, Nghi",,Fantasy,5574,1592,1250784786,9781250784780,3,3.68,Tordotcom,Hardcover,262,2021,2021,6/28/21,6/2/21,,,read,,,,1,,,0,,,,,
39298169,The Marriage Clock,Zara Raheem,"Raheem, Zara",,Contemporary,2804,552,,,4,3.27,William Morrow Paperbacks,Kindle Edition,368,2019,2019,6/17/21,1/15/21,,,read,,,,1,,,0,,,,,
33080122,"The Calculating Stars (Lady Astronaut Universe, #1)",Mary Robinette Kowal,"Kowal, Mary Robinette",,Science Fiction,26764,4022,,,0,3.98,Tor Books,Paperback,431,2018,2018,,6/16/21,to-read,to-read (#462),to-read,,,,0,,,0,,,,,
54860443,One Last Stop,Casey McQuiston,"McQuiston, Casey",,Romance,62917,13345,1250244498,9781250244499,5,4.16,St. Martin's Griffin,Paperback,422,2021,2021,6/12/21,1/5/21,,,read,,,,1,,,0,,,,,
52117860,The Future We Choose: Surviving the Climate Crisis,Christiana Figueres,"Figueres, Christiana",Tom Rivett-Carnac,Non-Fiction,3507,545,0525658351,9780525658351,4,4.15,Knopf Publishing Group,Hardcover,240,2020,2020,6/10/21,11/24/20,,,read,,,,1,,,0,,,,,
7728889,"The Diviners (The Diviners, #1)",Libba Bray,"Bray, Libba",,Fantasy,98772,12994,,,4,3.92,"Little, Brown Books for Young Readers",Hardcover,578,2012,2012,6/5/21,1/17/21,,,read,,,,1,,,0,,,,,
52879286,Humankind: A Hopeful History,Rutger Bregman,"Bregman, Rutger","Elizabeth Manton, Erica Moore",Non-Fiction,27799,3418,0316418536,9780316418539,0,4.32,"Little, Brown and Company",Hardcover,462,2020,2019,,6/3/21,to-read,to-read (#461),to-read,,,,0,,,0,,,,,
50523477,"The Jasmine Throne (Burning Kingdoms, #1)",Tasha Suri,"Suri, Tasha",,Fantasy,4355,1285,0356515648,9780356515649,0,4.26,Orbit,Paperback,533,2021,2021,,6/2/21,to-read,to-read (#460),to-read,,,,0,,,0,,,,,
1774836,The Palace of Illusions,Chitra Banerjee Divakaruni,"Divakaruni, Chitra Banerjee",,Fantasy,39767,4187,0385515995,9780385515993,0,4.19,Doubleday,Hardcover,360,2008,2008,,5/25/21,to-read,to-read (#459),to-read,,,,0,,,0,,,,,
55004546,"The Secret Keeper of Jaipur (The Henna Artist, #2)",Alka Joshi,"Joshi, Alka",,Historical,12692,1332,0778331857,9780778331858,0,4.14,Mira Books,Hardcover,384,2021,2021,,5/25/21,to-read,to-read (#458),to-read,,,,0,,,0,,,,,
55145261,The Anthropocene Reviewed,John Green,"Green, John",,Non-Fiction,21908,4437,0525555218,9780525555216,0,4.5,Dutton,Hardcover,293,2021,2021,,5/21/21,to-read,to-read (#457),to-read,,,,0,,,0,,,,,
18775359,After I Do,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,Contemporary,33583,4672,1476712840,9781476712840,4,4,Washington Square Press,Paperback,334,2014,2014,5/21/21,2/21/21,,,read,,,,1,,,0,,,,,
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,Fantasy,69456,13901,,,3,3.96,Saga Press,Kindle Edition,209,2019,2019,5/17/21,1/31/21,,,read,,,,1,,,0,,,,,
38739562,With the Fire on High,Elizabeth Acevedo,"Acevedo, Elizabeth",,Contemporary,62227,11147,0062662856,9780062662859,0,4.23,Quill Tree Books,ebook,400,2019,2019,,5/10/21,to-read,to-read (#456),to-read,,,,0,,,0,,,,,
37969723,"The Silence of the Girls (Women of Troy, #1)",Pat Barker,"Barker, Pat",,Historical,53113,6437,,,0,3.91,Doubleday Books,Hardcover,325,2018,2018,,5/10/21,to-read,to-read (#455),to-read,,,,0,,,0,,,,,
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,"Zaf√≥n, Carlos Ruiz",Lucia Graves,Historical,528344,40449,,,0,4.27,Penguin Books,Paperback,487,2005,2001,,5/10/21,to-read,to-read (#454),to-read,,,,0,,,0,,,,,
52761909,The Paris Library,Janet Skeslien Charles,"Charles, Janet Skeslien",,Historical,42710,5931,1982134194,9781982134198,0,4.09,Atria Books,Hardcover,351,2021,2021,,5/10/21,to-read,to-read (#453),to-read,,,,0,,,0,,,,,
53288434,The Lost Apothecary,Sarah Penner,"Penner, Sarah",,Historical,112651,14801,0778311015,9780778311010,0,3.79,Park Row,Hardcover,301,2021,2021,,5/10/21,to-read,to-read (#452),to-read,,,,0,,,0,,,,,
43562313,Yolk,Mary H.K. Choi,"Choi, Mary H.K.",,Contemporary,8701,1755,,,0,4.09,,,400,2021,2021,,5/10/21,to-read,to-read (#451),to-read,,,,0,,,0,,,,,
57589437,The Checklist,Addie Woolridge,"Woolridge, Addie",,Romance,3446,270,,,0,3.81,Montlake,Kindle Edition,347,2021,2021,,5/10/21,to-read,to-read (#450),to-read,,,,0,,,0,,,,,
53968496,"The Prison Healer (The Prison Healer, #1)",Lynette Noni,"Noni, Lynette",,Fantasy,8323,2141,0358434556,9780358434559,0,4.3,Clarion Books,Hardcover,416,2021,2021,,5/10/21,to-read,to-read (#449),to-read,,,,0,,,0,,,,,
54719856,Gold Diggers,Sanjena Sathian,"Sathian, Sanjena",,Fantasy,4543,700,1984882031,9781984882035,0,3.65,Penguin Press,Hardcover,352,2021,2021,,5/10/21,to-read,to-read (#448),to-read,,,,0,,,0,,,,,
54304172,"The Infinity Courts (The Infinity Courts, #1)",Akemi Dawn Bowman,"Bowman, Akemi Dawn",,Fantasy,1860,632,153445649X,9781534456495,0,3.78,Simon & Schuster Books for Young Readers,Hardcover,465,2021,2021,,2/7/21,to-read,to-read (#439),to-read,,,,0,,,0,,,,,
46042377,A Long Petal of the Sea,Isabel Allende,"Allende, Isabel",,Historical,60244,7060,,,4,4.06,Ballantine Books,Kindle Edition,336,2020,2019,5/8/21,5/3/21,,,read,,,,1,,,0,,,,,
55710525,Take Me Home Tonight,Morgan Matson,"Matson, Morgan",,Contemporary,2910,779,1481498983,9781481498982,0,3.75,Simon  Schuster Books for Young Readers,Hardcover,405,2021,2021,,5/6/21,to-read,to-read (#447),to-read,,,,0,,,0,,,,,
